concept_id,source,node_type,preferred_name,category,synonyms
SCTID:1003605004,SNOMEDCT,Disease,Glaucoma suspect due to diabetes mellitus type 2,Complication,Glaucoma suspect due to diabetes mellitus type 2 | Glaucoma suspect due to diabetes mellitus type II
SCTID:102621000119101,SNOMEDCT,Disease,Ulcer of skin due to type 2 diabetes mellitus,Complication,Skin ulcer due to type 2 diabetes mellitus | Ulcer of skin due to type 2 diabetes mellitus
SCTID:102781000119107,SNOMEDCT,Disease,Sensory neuropathy due to type 1 diabetes mellitus,Complication,Sensory neuropathy due to type 1 diabetes mellitus
SCTID:103981000119101,SNOMEDCT,Disease,Proliferative retinopathy following surgery due to diabetes mellitus,Complication,Proliferative diabetic retinopathy following surgery | Proliferative retinopathy following surgery due to diabetes mellitus
SCTID:104941000119109,SNOMEDCT,Disease,Ischemia of retina due to type 1 diabetes mellitus,Complication,Ischaemia of retina due to type 1 diabetes mellitus | Ischemia of retina due to type 1 diabetes mellitus | Retinal ischaemia due to type 1 diabetes mellitus | Retinal ischaemia with type 1 diabetes mellitus | Retinal ischemia due to type 1 diabetes mellitus | Retinal ischemia with type 1 diabetes mellitus
SCTID:104951000119106,SNOMEDCT,Disease,Vitreous hemorrhage due to type 1 diabetes mellitus,Complication,Vitreous haemorrhage due to type 1 diabetes mellitus | Vitreous haemorrhage with type 1 diabetes mellitus | Vitreous hemorrhage due to type 1 diabetes mellitus | Vitreous hemorrhage with type 1 diabetes mellitus
SCTID:104961000119108,SNOMEDCT,Disease,Ischemia of retina due to type 2 diabetes mellitus,Complication,Ischaemia of retina due to type 2 diabetes mellitus | Ischemia of retina due to type 2 diabetes mellitus | Retinal ischaemia due to type 2 diabetes mellitus | Retinal ischaemia with type 2 diabetes mellitus | Retinal ischemia due to type 2 diabetes mellitus | Retinal ischemia with type 2 diabetes mellitus
SCTID:105401000119101,SNOMEDCT,Disease,Diabetes mellitus due to pancreatic injury,Complication,Diabetes mellitus due to pancreatic injury
SCTID:106281000119103,SNOMEDCT,Disease,Pre-existing diabetes mellitus in mother complicating childbirth,Complication,Pre-existing diabetes mellitus in childbirth | Pre-existing diabetes mellitus in mother complicating childbirth
SCTID:10656231000119100,SNOMEDCT,Disease,Ulcer of skin of toe due to type 1 diabetes mellitus,Complication,"Diabetes type 1 with diabetic ulcer of toe, skin breakdown | Skin ulcer of toe due to diabetes mellitus type 1 | Ulcer of skin of toe due to type 1 diabetes mellitus"
