sctid,fsn,semantic_tag,in_core
1003605004,Glaucoma suspect due to diabetes mellitus type 2 (disorder),disorder,1
102621000119101,Ulcer of skin due to type 2 diabetes mellitus (disorder),disorder,1
102781000119107,Sensory neuropathy due to type 1 diabetes mellitus (disorder),disorder,1
103981000119101,Proliferative retinopathy following surgery due to diabetes mellitus (disorder),disorder,1
104941000119109,Ischemia of retina due to type 1 diabetes mellitus (disorder),disorder,1
104951000119106,Vitreous hemorrhage due to type 1 diabetes mellitus (disorder),disorder,1
104961000119108,Ischemia of retina due to type 2 diabetes mellitus (disorder),disorder,1
105401000119101,Diabetes mellitus due to pancreatic injury (disorder),disorder,1
106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth (disorder),disorder,1
10656231000119100,Ulcer of skin of toe due to type 1 diabetes mellitus (disorder),disorder,1
10656271000119102,Ulcer of skin of toe due to type 2 diabetes mellitus (disorder),disorder,1
10660471000119109,Ulcer of left foot due to type 2 diabetes mellitus (disorder),disorder,1
10661671000119102,Ulcer of right foot due to type 2 diabetes mellitus (disorder),disorder,1
10753491000119101,Gestational diabetes mellitus in childbirth (disorder),disorder,1
10754881000119104,Diabetes mellitus in mother complicating childbirth (disorder),disorder,1
109171000119104,Retinal edema due to type 1 diabetes mellitus (disorder),disorder,1
110141000119100,Ulcer of lower limb due to type 1 diabetes mellitus (disorder),disorder,1
110171000119107,Ulcer of lower limb due to type 2 diabetes mellitus (disorder),disorder,1
110181000119105,Peripheral sensory neuropathy due to type 2 diabetes mellitus (disorder),disorder,1
111231000119109,Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus (disorder),disorder,1
111307005,Leprechaunism syndrome (disorder),disorder,1
111556005,Ketoacidosis without coma due to diabetes mellitus (disorder),disorder,1
1142044000,Pre-existing malnutrition-related diabetes mellitus in pregnancy (disorder),disorder,1
1144894004,Peripheral autonomic neuropathy due to diabetes mellitus (disorder),disorder,1
11530004,Brittle diabetes mellitus (disorder),disorder,1
11687002,Gestational diabetes mellitus (disorder),disorder,1
1172389004,Disorder due to malnutrition related diabetes mellitus (disorder),disorder,1
1196922005,Neovascular glaucoma due to diabetes mellitus type 2 (disorder),disorder,1
1196923000,Neovascular glaucoma due to diabetes mellitus type 1 (disorder),disorder,1
1197592001,"Intrauterine growth restriction, short stature, early adult-onset diabetes syndrome (disorder)",disorder,1
119831000119106,Hypoglycemia unawareness due to type 2 diabetes mellitus (disorder),disorder,1
120711000119108,Hypoglycemic unawareness due to type 1 diabetes mellitus (disorder),disorder,1
120731000119103,Hypoglycemia due to type 2 diabetes mellitus (disorder),disorder,1
1217068008,Fulminant type 1 diabetes mellitus (disorder),disorder,1
1217674007,Neurotrophic keratitis due to diabetes mellitus (disorder),disorder,1
123763000,Houssay's syndrome (disorder),disorder,1
1251386008,Disorder of skin due to diabetes mellitus (disorder),disorder,1
1255271005,"Type 1 diabetes mellitus, central and peripheral neurodegeneration syndrome (disorder)",disorder,1
1259048007,Lesion of brachial plexus due to diabetes mellitus (disorder),disorder,1
126534007,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder),disorder,1
126535008,Motor polyneuropathy due to diabetes mellitus (disorder),disorder,1
127011001,Sensory neuropathy due to diabetes mellitus (disorder),disorder,1
127012008,Lipoatrophic diabetes (disorder),disorder,1
127013003,Disorder of kidney due to diabetes mellitus (disorder),disorder,1
127014009,Peripheral angiopathy due to diabetes mellitus (disorder),disorder,1
1285518004,Wolfram syndrome type 1 (disorder),disorder,1
1285519007,Wolfram syndrome type 2 (disorder),disorder,1
129599004,Large baby of diabetic mother (disorder),disorder,1
1303868000,"Developmental delay, epilepsy, neonatal diabetes syndrome, intermediate form (disorder)",disorder,1
1306699009,Stable treated proliferative retinopathy due to diabetes mellitus (disorder),disorder,1
1306700005,Stable treated proliferative retinopathy of bilateral eyes due to diabetes mellitus (disorder),disorder,1
1332436006,Hypertension in chronic kidney disease stage 3B due to type 1 diabetes mellitus (disorder),disorder,1
1332441003,Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus (disorder),disorder,1
1332442005,Hypertension in chronic kidney disease stage 3 due to type 1 diabetes mellitus (disorder),disorder,1
1332464001,Hypertension in chronic kidney disease stage 2 due to type 1 diabetes mellitus (disorder),disorder,1
1332465000,Hypertension in chronic kidney disease stage 3B due to type 2 diabetes mellitus (disorder),disorder,1
1332466004,Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus (disorder),disorder,1
1332467008,Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus (disorder),disorder,1
1332468003,Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus (disorder),disorder,1
1332469006,Chronic kidney disease stage 3B due to type 2 diabetes mellitus (disorder),disorder,1
1332470007,Chronic kidney disease stage 3A due to type 2 diabetes mellitus (disorder),disorder,1
1332471006,Chronic kidney disease stage 3B due to type 1 diabetes mellitus (disorder),disorder,1
1332472004,Chronic kidney disease stage 3A due to type 1 diabetes mellitus (disorder),disorder,1
1344623000,Disorder of peripheral circulation due to malnutrition-related diabetes mellitus (disorder),disorder,1
1354552000,Mild macular edema due to diabetes mellitus (disorder),disorder,1
1354553005,Moderate macular edema due to diabetes mellitus (disorder),disorder,1
1354554004,Severe macular edema due to diabetes mellitus (disorder),disorder,1
1367802006,Diabetes mellitus due to chronic pancreatitis (disorder),disorder,1
137931000119102,Hyperlipidemia due to type 2 diabetes mellitus (disorder),disorder,1
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus (disorder),disorder,1
138811000119100,Complication due to secondary diabetes mellitus (disorder),disorder,1
138881000119106,Mild nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),disorder,1
138891000119109,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),disorder,1
138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),disorder,1
138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),disorder,1
1396367007,Chronic kidney disease stage 5 on dialysis due to type 1 diabetes mellitus (disorder),disorder,1
1396369005,Chronic kidney disease stage 5 on dialysis due to type 2 diabetes mellitus (disorder),disorder,1
1396370006,Chronic kidney disease stage 5 on dialysis due to drug induced diabetes mellitus (disorder),disorder,1
1396374002,Hypertension in chronic kidney disease stage 5 on dialysis due to type 1 diabetes mellitus (disorder),disorder,1
1396375001,Hypertension in chronic kidney disease stage 5 on dialysis due to type 2 diabetes mellitus (disorder),disorder,1
1396468003,Macular edema and retinopathy of right eye due to type 2 diabetes mellitus (disorder),disorder,1
1396469006,Macular edema and retinopathy of left eye due to type 2 diabetes mellitus (disorder),disorder,1
140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus (disorder),disorder,1
140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder),disorder,1
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder),disorder,1
140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus (disorder),disorder,1
140381000119104,Neuropathic ulcer of toe due to type 2 diabetes mellitus (disorder),disorder,1
140391000119101,Ulcer of toe due to type 2 diabetes mellitus (disorder),disorder,1
140521000119107,Ischemic ulcer of foot due to type 2 diabetes mellitus (disorder),disorder,1
140531000119105,Neuropathic ulcer of foot due to type 2 diabetes mellitus (disorder),disorder,1
1481000119100,Diabetes mellitus type 2 without retinopathy (disorder),disorder,1
1491000119102,Vitreous hemorrhage due to type 2 diabetes mellitus (disorder),disorder,1
1501000119109,Proliferative retinopathy due to type 2 diabetes mellitus (disorder),disorder,1
1511000119107,Peripheral neuropathy due to type 2 diabetes mellitus (disorder),disorder,1
1521000119100,Ulcer of foot due to type 2 diabetes mellitus (disorder),disorder,1
1531000119102,Dermopathy due to type 2 diabetes mellitus (disorder),disorder,1
1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),disorder,1
1571000119104,Mixed hyperlipidemia due to type 1 diabetes mellitus (disorder),disorder,1
157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder),disorder,1
15936501000119100,Inflammatory dermatosis due to type 2 diabetes mellitus (disorder),disorder,1
164881000119109,Ulcer of foot due to type 1 diabetes mellitus (disorder),disorder,1
164971000119101,Type 2 diabetes mellitus controlled by diet (disorder),disorder,1
16697421000119103,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder),disorder,1
16697471000119102,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder),disorder,1
16697521000119104,Moderate nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder),disorder,1
16739971000119103,Proliferative retinopathy of right eye following surgery due to diabetes mellitus (disorder),disorder,1
16740051000119100,Proliferative retinopathy of left eye following surgery due to diabetes mellitus (disorder),disorder,1
16745051000119107,Nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder),disorder,1
16745131000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),disorder,1
16745211000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder),disorder,1
16745411000119104,Mild nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder),disorder,1
16745531000119108,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),disorder,1
16745611000119102,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder),disorder,1
16745651000119101,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder),disorder,1
