rxcui,ingredient,atc_code,atc_class,category,brand_names
400008,"insulin glulisine, human",A10AB06,"Insulins and analogues for injection, fast-acting",insulin,Apidra
1458224,,A10AB30,"Insulins and analogues for injection, fast-acting",insulin,
1429331,,A10AC30,"Insulins and analogues for injection, intermediate-acting",insulin,
86009,insulin lispro,A10AD04,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",insulin,Admelog; Humalog; Humalog Mix; Lispro PRC; Lyumjev
51428,"insulin aspart, human",A10AD05,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",insulin,Fiasp; Kirsty; Merilog; NovoLog; NovoLog Mix; Ryzodeg
1456746,,A10AD06,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",insulin,
1429323,,A10AD30,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",insulin,
91458,,A10AE02,"Insulins and analogues for injection, long-acting",insulin,
221109,"insulin, regular, pork",A10AE03,"Insulins and analogues for injection, long-acting",insulin,Hypurin Porcine Biphasic Isophane; Hypurin Porcine Neutral; Iletin II Regular Pork; Initard 50/50 (pork); Pork Actrapid; Pork Mixtard 30
274783,insulin glargine,A10AE04,"Insulins and analogues for injection, long-acting",insulin,Basaglar; Lantus; Rezvoglar; Semglee; Soliqua; Toujeo
139825,insulin detemir,A10AE05,"Insulins and analogues for injection, long-acting",insulin,Levemir
1670007,insulin degludec,A10AE06,"Insulins and analogues for injection, long-acting",insulin,Ryzodeg; Tresiba; Xultophy
2740394,insulin icodec,A10AE07,"Insulins and analogues for injection, long-acting",insulin,Awiqli
1429337,,A10AE30,"Insulins and analogues for injection, long-acting",insulin,
1858994,,A10AE54,"Insulins and analogues for injection, long-acting",insulin,
1727493,,A10AE56,"Insulins and analogues for injection, long-acting",insulin,
2733691,,A10AE57,"Insulins and analogues for injection, long-acting",insulin,
253182,"insulin, regular, human",A10AF01,Insulins and analogues for inhalation,insulin,Afrezza; Human Actrapid; Human Actrapid Penfill; Human Mixtard; Humulin; Humulin R; Humulin S; Myxredlin; Novolin; Novolin R
8129,phenformin,A10BA01,biguanide blood glucose lower drugs,oral/non-insulin,
6809,metformin,A10BA02,biguanide blood glucose lower drugs,oral/non-insulin,Actoplus Met; Avandamet; Fortamet; Glucamet; Glucophage; Glucovance; Glumetza; Invokamet; Janumet; Jentadueto
1803,,A10BA03,biguanide blood glucose lower drugs,oral/non-insulin,
4815,glyburide,A10BB01,Sulfonylureas,oral/non-insulin,Calabren; Daonil; Diabeta; Diabetamide; Euglucon; Glucovance; Glyburase; Glycron; Glynase; Libanil
2404,chlorpropamide,A10BB02,Sulfonylureas,oral/non-insulin,Diabinese; Insulase
10635,tolbutamide,A10BB03,Sulfonylureas,oral/non-insulin,Orinase; Orinase Diagnostic; Tol-Tab
102846,glibornuride,A10BB04,Sulfonylureas,oral/non-insulin,
10633,tolazamide,A10BB05,Sulfonylureas,oral/non-insulin,Tolinase
2068,carbutamide,A10BB06,Sulfonylureas,oral/non-insulin,
4821,glipizide,A10BB07,Sulfonylureas,oral/non-insulin,Glibenese; Glucotrol; Metaglip; Minidiab
25793,gliquidone,A10BB08,Sulfonylureas,oral/non-insulin,
4816,gliclazide,A10BB09,Sulfonylureas,oral/non-insulin,
190414,,A10BB10,Sulfonylureas,oral/non-insulin,
25795,,A10BB11,Sulfonylureas,oral/non-insulin,
25789,glimepiride,A10BB12,Sulfonylureas,oral/non-insulin,Amaryl; Avandaryl; Duetact
173,acetohexamide,A10BB31,Sulfonylureas,oral/non-insulin,Dymelor
102848,glymidine,A10BC01,Sulfonamides (heterocyclic),oral/non-insulin,Gondafon
1431047,,A10BD01,Combinations of oral blood glucose lowering drugs,oral/non-insulin,
1431024,,A10BD02,Combinations of oral blood glucose lowering drugs,oral/non-insulin,
