source_id,source_fsn,type_id,type_fsn,dest_id,dest_fsn,group
201252003,Mixed diabetic ulcer - foot (disorder),116680003,Is a (attribute),238796009,Neuroischemic foot ulcer (disorder),0
230572002,Neuropathy due to diabetes mellitus (disorder),116680003,Is a (attribute),230571009,Neuropathy associated with endocrine disorder (disorder),0
230574001,Acute painful polyneuropathy due to diabetes mellitus (disorder),116680003,Is a (attribute),49455004,Polyneuropathy due to diabetes mellitus (disorder),0
230575000,Chronic painful polyneuropathy due to diabetes mellitus (disorder),116680003,Is a (attribute),49455004,Polyneuropathy due to diabetes mellitus (disorder),0
230576004,Asymmetric polyneuropathy due to diabetes mellitus (disorder),116680003,Is a (attribute),49455004,Polyneuropathy due to diabetes mellitus (disorder),0
232021008,Proliferative retinopathy with optic disc neovascularization due to diabetes mellitus (disorder),116680003,Is a (attribute),59276001,Proliferative retinopathy due to diabetes mellitus (disorder),0
232022001,Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus (disorder),116680003,Is a (attribute),59276001,Proliferative retinopathy due to diabetes mellitus (disorder),0
232023006,Traction detachment of retina due to diabetes mellitus (disorder),116680003,Is a (attribute),34711008,Traction detachment of retina (disorder),0
237599002,Insulin treated type 2 diabetes mellitus (disorder),116680003,Is a (attribute),44054006,Diabetes mellitus type 2 (disorder),0
237600004,Malnutrition-related diabetes mellitus - fibrocalculous (disorder),116680003,Is a (attribute),75524006,Malnutrition related diabetes mellitus (disorder),0
237601000,Secondary endocrine diabetes mellitus (disorder),116680003,Is a (attribute),8801005,Secondary diabetes mellitus (disorder),0
237603002,Transitory neonatal diabetes mellitus (disorder),116680003,Is a (attribute),49817004,Neonatal diabetes mellitus (disorder),0
237611007,"Muscular atrophy, ataxia, retinitis pigmentosa, and diabetes mellitus (disorder)",116680003,Is a (attribute),88092000,Muscle atrophy (disorder),0
237612000,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction (disorder)",116680003,Is a (attribute),17346000,Disorder of endocrine pancreas (disorder),0
237617006,"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness (disorder)",116680003,Is a (attribute),17346000,Disorder of endocrine pancreas (disorder),0
237619009,Maternally inherited diabetes and deafness (disorder),116680003,Is a (attribute),5969009,Diabetes mellitus associated with genetic syndrome (disorder),0
237627000,Pregnancy and type 2 diabetes mellitus (disorder),116680003,Is a (attribute),44054006,Diabetes mellitus type 2 (disorder),0
237633009,Hypoglycemia due to diabetes mellitus (disorder),116680003,Is a (attribute),237630007,Hypoglycemic disorder (disorder),0
237635002,Nocturnal hypoglycemia due to diabetes mellitus (disorder),116680003,Is a (attribute),237633009,Hypoglycemia due to diabetes mellitus (disorder),0
238981002,Disorder of soft tissue due to diabetes mellitus (disorder),116680003,Is a (attribute),74627003,Complication due to diabetes mellitus (disorder),0
238981002,Disorder of soft tissue due to diabetes mellitus (disorder),116680003,Is a (attribute),19660004,Disorder of soft tissue (disorder),0
11530004,Brittle diabetes mellitus (disorder),116680003,Is a (attribute),73211009,Diabetes mellitus (disorder),0
