rxcui,ingredient,ci_disease,ci_code,source
400008,"insulin glulisine, human",Drug Hypersensitivity,D004342,DISEASE
400008,"insulin glulisine, human",Hypoglycemia,D007003,DISEASE
86009,insulin lispro,Drug Hypersensitivity,D004342,DISEASE
86009,insulin lispro,Hypoglycemia,D007003,DISEASE
51428,"insulin aspart, human",Hypoglycemia,D007003,DISEASE
221109,"insulin, regular, pork",Drug Hypersensitivity,D004342,DISEASE
274783,insulin glargine,Hypoglycemia,D007003,DISEASE
274783,insulin glargine,Drug Hypersensitivity,D004342,DISEASE
1670007,insulin degludec,Drug Hypersensitivity,D004342,DISEASE
1670007,insulin degludec,Hypoglycemia,D007003,DISEASE
1858994,,Drug Hypersensitivity,D004342,DISEASE
1858994,,Hypoglycemia,D007003,DISEASE
1727493,,Drug Hypersensitivity,D004342,DISEASE
1727493,,Hypoglycemia,D007003,DISEASE
1727493,,Pregnancy,D011247,DISEASE
1727493,,Multiple Endocrine Neoplasia Type 2a,D018813,DISEASE
1727493,,Multiple Endocrine Neoplasia Type 2b,D018814,DISEASE
253182,"insulin, regular, human",Drug Hypersensitivity,D004342,DISEASE
253182,"insulin, regular, human",Hypoglycemia,D007003,DISEASE
6809,metformin,Acidosis,D000138,DISEASE
6809,metformin,Drug Hypersensitivity,D004342,DISEASE
6809,metformin,Liver Diseases,D008107,DISEASE
6809,metformin,Diabetic Ketoacidosis,D016883,DISEASE
6809,metformin,Renal Insufficiency,D051437,DISEASE
4815,glyburide,"Diabetes Mellitus, Type 1",D003922,DISEASE
4815,glyburide,Drug Hypersensitivity,D004342,DISEASE
4815,glyburide,Diabetic Ketoacidosis,D016883,DISEASE
2404,chlorpropamide,"Diabetes Mellitus, Type 1",D003922,DISEASE
2404,chlorpropamide,Drug Hypersensitivity,D004342,DISEASE
2404,chlorpropamide,Lactation,D007774,DISEASE
2404,chlorpropamide,Pregnancy,D011247,DISEASE
2404,chlorpropamide,Diabetic Ketoacidosis,D016883,DISEASE
10635,tolbutamide,Hypersensitivity,D006967,DISEASE
10635,tolbutamide,Pregnancy,D011247,DISEASE
10635,tolbutamide,Diabetic Ketoacidosis,D016883,DISEASE
10633,tolazamide,Hypersensitivity,D006967,DISEASE
10633,tolazamide,Pregnancy,D011247,DISEASE
10633,tolazamide,Diabetic Ketoacidosis,D016883,DISEASE
4821,glipizide,"Diabetes Mellitus, Type 1",D003922,DISEASE
4821,glipizide,Drug Hypersensitivity,D004342,DISEASE
4821,glipizide,Diabetic Ketoacidosis,D016883,DISEASE
25789,glimepiride,Hypersensitivity,D006967,DISEASE
25789,glimepiride,Diabetic Ketoacidosis,D016883,DISEASE
173,acetohexamide,Pregnancy,D011247,DISEASE
614348,,Acidosis,D000138,DISEASE
614348,,Drug Hypersensitivity,D004342,DISEASE
614348,,Liver Diseases,D008107,DISEASE
614348,,Diabetic Ketoacidosis,D016883,DISEASE
614348,,Renal Insufficiency,D051437,DISEASE
614348,,Heart Failure,D006333,DISEASE
606253,,Hypersensitivity,D006967,DISEASE
606253,,Diabetic Ketoacidosis,D016883,DISEASE
606253,,Drug Hypersensitivity,D004342,DISEASE
606253,,Heart Failure,D006333,DISEASE
606253,,Liver Diseases,D008107,DISEASE
607999,,Acidosis,D000138,DISEASE
607999,,Drug Hypersensitivity,D004342,DISEASE
607999,,Liver Diseases,D008107,DISEASE
607999,,Diabetic Ketoacidosis,D016883,DISEASE
607999,,Renal Insufficiency,D051437,DISEASE
607999,,Heart Failure,D006333,DISEASE
647235,,Hypersensitivity,D006967,DISEASE
647235,,Diabetic Ketoacidosis,D016883,DISEASE
647235,,Drug Hypersensitivity,D004342,DISEASE
647235,,Heart Failure,D006333,DISEASE
647235,,Liver Diseases,D008107,DISEASE
729717,,Acidosis,D000138,DISEASE
729717,,Drug Hypersensitivity,D004342,DISEASE
729717,,Liver Diseases,D008107,DISEASE
729717,,Diabetic Ketoacidosis,D016883,DISEASE
729717,,Renal Insufficiency,D051437,DISEASE
729717,,"Diabetes Mellitus, Type 1",D003922,DISEASE
1368402,,Hypersensitivity,D006967,DISEASE
1368402,,Drug Hypersensitivity,D004342,DISEASE
1368402,,Heart Failure,D006333,DISEASE
1368402,,Liver Diseases,D008107,DISEASE
1043562,,Acidosis,D000138,DISEASE
1043562,,Drug Hypersensitivity,D004342,DISEASE
1043562,,Liver Diseases,D008107,DISEASE
1043562,,Diabetic Ketoacidosis,D016883,DISEASE
1043562,,Renal Insufficiency,D051437,DISEASE
1243019,,Drug Hypersensitivity,D004342,DISEASE
1243019,,Acidosis,D000138,DISEASE
1243019,,Liver Diseases,D008107,DISEASE
1243019,,Diabetic Ketoacidosis,D016883,DISEASE
1243019,,Renal Insufficiency,D051437,DISEASE
