source_id,source_name,edge_type,target_id,target_name,vocab
RXCUI:400008,"insulin glulisine, human",treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:86009,insulin lispro,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:51428,"insulin aspart, human",treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:221109,"insulin, regular, pork",treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:274783,insulin glargine,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:139825,insulin detemir,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1670007,insulin degludec,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:2740394,insulin icodec,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:253182,"insulin, regular, human",treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:8129,phenformin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:6809,metformin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:4815,glyburide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:2404,chlorpropamide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:10635,tolbutamide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:102846,glibornuride,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:10633,tolazamide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:2068,carbutamide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:4821,glipizide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:25793,gliquidone,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:4816,gliclazide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:25789,glimepiride,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:173,acetohexamide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:102848,glymidine,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:16681,acarbose,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:30009,miglitol,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:72610,troglitazone,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:84108,rosiglitazone,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:33738,pioglitazone,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:593411,sitagliptin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:596554,vildagliptin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:857974,saxagliptin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1368001,alogliptin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1100699,linagliptin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:60548,exenatide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:475968,liraglutide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1440051,lixisenatide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1534763,albiglutide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1551291,dulaglutide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1991302,semaglutide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1488564,dapagliflozin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1373458,canagliflozin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1545653,empagliflozin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:1992672,ertugliflozin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:2638675,sotagliflozin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:2627044,bexagliflozin,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:26344,guar gum,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:73044,repaglinide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:274332,nateglinide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:139953,pramlintide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:18880,benfluorex,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:2601723,tirzepatide,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:38386,tolrestat,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:2621880,teplizumab,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:2642217,donislecel,treats,SCTID:73211009,Diabetes mellitus,ATC
RXCUI:400008,"insulin glulisine, human",contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:400008,"insulin glulisine, human",contraindicated_with,MESH:D007003,Hypoglycemia,MEDRT
RXCUI:86009,insulin lispro,contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:86009,insulin lispro,contraindicated_with,MESH:D007003,Hypoglycemia,MEDRT
RXCUI:51428,"insulin aspart, human",contraindicated_with,MESH:D007003,Hypoglycemia,MEDRT
RXCUI:221109,"insulin, regular, pork",contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:274783,insulin glargine,contraindicated_with,MESH:D007003,Hypoglycemia,MEDRT
RXCUI:274783,insulin glargine,contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:1670007,insulin degludec,contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:1670007,insulin degludec,contraindicated_with,MESH:D007003,Hypoglycemia,MEDRT
RXCUI:253182,"insulin, regular, human",contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:253182,"insulin, regular, human",contraindicated_with,MESH:D007003,Hypoglycemia,MEDRT
RXCUI:6809,metformin,contraindicated_with,MESH:D000138,Acidosis,MEDRT
RXCUI:6809,metformin,contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:6809,metformin,contraindicated_with,MESH:D008107,Liver Diseases,MEDRT
RXCUI:6809,metformin,contraindicated_with,MESH:D016883,Diabetic Ketoacidosis,MEDRT
RXCUI:6809,metformin,contraindicated_with,MESH:D051437,Renal Insufficiency,MEDRT
RXCUI:4815,glyburide,contraindicated_with,MESH:D003922,"Diabetes Mellitus, Type 1",MEDRT
RXCUI:4815,glyburide,contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:4815,glyburide,contraindicated_with,MESH:D016883,Diabetic Ketoacidosis,MEDRT
RXCUI:2404,chlorpropamide,contraindicated_with,MESH:D003922,"Diabetes Mellitus, Type 1",MEDRT
RXCUI:2404,chlorpropamide,contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:2404,chlorpropamide,contraindicated_with,MESH:D007774,Lactation,MEDRT
RXCUI:2404,chlorpropamide,contraindicated_with,MESH:D011247,Pregnancy,MEDRT
RXCUI:2404,chlorpropamide,contraindicated_with,MESH:D016883,Diabetic Ketoacidosis,MEDRT
RXCUI:10635,tolbutamide,contraindicated_with,MESH:D006967,Hypersensitivity,MEDRT
RXCUI:10635,tolbutamide,contraindicated_with,MESH:D011247,Pregnancy,MEDRT
RXCUI:10635,tolbutamide,contraindicated_with,MESH:D016883,Diabetic Ketoacidosis,MEDRT
RXCUI:10633,tolazamide,contraindicated_with,MESH:D006967,Hypersensitivity,MEDRT
RXCUI:10633,tolazamide,contraindicated_with,MESH:D011247,Pregnancy,MEDRT
RXCUI:10633,tolazamide,contraindicated_with,MESH:D016883,Diabetic Ketoacidosis,MEDRT
RXCUI:4821,glipizide,contraindicated_with,MESH:D003922,"Diabetes Mellitus, Type 1",MEDRT
RXCUI:4821,glipizide,contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:4821,glipizide,contraindicated_with,MESH:D016883,Diabetic Ketoacidosis,MEDRT
RXCUI:25789,glimepiride,contraindicated_with,MESH:D006967,Hypersensitivity,MEDRT
RXCUI:25789,glimepiride,contraindicated_with,MESH:D016883,Diabetic Ketoacidosis,MEDRT
RXCUI:173,acetohexamide,contraindicated_with,MESH:D011247,Pregnancy,MEDRT
RXCUI:16681,acarbose,contraindicated_with,MESH:D003093,"Colitis, Ulcerative",MEDRT
RXCUI:16681,acarbose,contraindicated_with,MESH:D004065,Digestive System Abnormalities,MEDRT
RXCUI:16681,acarbose,contraindicated_with,MESH:D004342,Drug Hypersensitivity,MEDRT
RXCUI:16681,acarbose,contraindicated_with,MESH:D007415,Intestinal Obstruction,MEDRT
RXCUI:16681,acarbose,contraindicated_with,MESH:D008103,Liver Cirrhosis,MEDRT
RXCUI:16681,acarbose,contraindicated_with,MESH:D008286,Malabsorption Syndromes,MEDRT
RXCUI:16681,acarbose,contraindicated_with,MESH:D016883,Diabetic Ketoacidosis,MEDRT
RXCUI:30009,miglitol,contraindicated_with,MESH:D003093,"Colitis, Ulcerative",MEDRT
RXCUI:30009,miglitol,contraindicated_with,MESH:D004065,Digestive System Abnormalities,MEDRT
